column,dtype,n_missing,missing_rate,n_unique,sample_values
id,int64,0,0.0,594194,"0, 1, 2, 3, 4"
gender,str,0,0.0,2,"Male, Female"
SeniorCitizen,int64,0,0.0,2,"0, 1"
Partner,str,0,0.0,2,"Yes, No"
Dependents,str,0,0.0,2,"Yes, No"
tenure,int64,0,0.0,72,"29, 58, 1, 24, 72"
PhoneService,str,0,0.0,2,"Yes, No"
MultipleLines,str,0,0.0,3,"No, Yes, No phone service"
InternetService,str,0,0.0,3,"DSL, Fiber optic, No"
OnlineSecurity,str,0,0.0,3,"Yes, No, No internet service"
OnlineBackup,str,0,0.0,3,"No, Yes, No internet service"
DeviceProtection,str,0,0.0,3,"Yes, No, No internet service"
TechSupport,str,0,0.0,3,"Yes, No, No internet service"
StreamingTV,str,0,0.0,3,"No, Yes, No internet service"
StreamingMovies,str,0,0.0,3,"No, Yes, No internet service"
Contract,str,0,0.0,3,"One year, Two year, Month-to-month"
PaperlessBilling,str,0,0.0,2,"Yes, No"
PaymentMethod,str,0,0.0,4,"Mailed check, Credit card (automatic), Electronic check, Bank transfer (automatic)"
MonthlyCharges,float64,0,0.0,1921,"60.1, 69.5, 100.4, 69.7, 70.45"
TotalCharges,float64,0,0.0,31910,"1653.85, 3778.2, 5841.35, 70.7, 70.45"
Churn,str,0,0.0,2,"No, Yes"
