feature,coefficient,abs_coefficient
num__tenure,-1.8272113456017316,1.8272113456017316
cat__Contract_Two year,-0.8313118446591641,0.8313118446591641
cat__InternetService_DSL,-0.49967666995816307,0.49967666995816307
cat__PaperlessBilling_No,-0.44314975067845136,0.44314975067845136
cat__PhoneService_Yes,-0.43292830929795234,0.43292830929795234
cat__Dependents_Yes,-0.39340479680005547,0.39340479680005547
cat__MultipleLines_No,-0.3647317128465679,0.3647317128465679
cat__PaymentMethod_Mailed check,-0.3162175984046289,0.3162175984046289
cat__OnlineSecurity_Yes,-0.3110556935026383,0.3110556935026383
cat__PaymentMethod_Credit card (automatic),-0.2841326609760446,0.2841326609760446
cat__PaymentMethod_Bank transfer (automatic),-0.2783942910880451,0.2783942910880451
cat__StreamingMovies_No internet service,-0.2544921570521804,0.2544921570521804
cat__TechSupport_No internet service,-0.2544921570521804,0.2544921570521804
cat__OnlineBackup_No internet service,-0.2544921570521804,0.2544921570521804
cat__InternetService_No,-0.2544921570521804,0.2544921570521804
cat__OnlineSecurity_No internet service,-0.25449215705194034,0.25449215705194034
cat__DeviceProtection_No internet service,-0.25449215705194034,0.25449215705194034
cat__StreamingTV_No internet service,-0.25449215705194034,0.25449215705194034
cat__Partner_Yes,-0.24529551001477487,0.24529551001477487
cat__StreamingTV_No,-0.24264420470953812,0.24264420470953812
