feature,coefficient,abs_coefficient
num__TotalCharges,0.8171860167265337,0.8171860167265337
cat__Contract_Month-to-month,0.565602244483205,0.565602244483205
cat__PaymentMethod_Electronic check,0.41282164320399145,0.41282164320399145
cat__InternetService_Fiber optic,0.2882459197454421,0.2882459197454421
num__MonthlyCharges,0.22377082205648674,0.22377082205648674
num__SeniorCitizen,0.13846280020052085,0.13846280020052085
cat__OnlineSecurity_No,0.09962494328988734,0.09962494328988734
cat__StreamingTV_Yes,0.031213454496801747,0.031213454496801747
cat__TechSupport_No,0.02353954266380425,0.02353954266380425
cat__StreamingMovies_Yes,0.018451299325728015,0.018451299325728015
cat__PaperlessBilling_Yes,-0.02277315658680844,0.02277315658680844
cat__PhoneService_No,-0.032994597967815814,0.032994597967815814
cat__MultipleLines_No phone service,-0.03299459796781583,0.03299459796781583
cat__OnlineBackup_No,-0.03621987414491984,0.03621987414491984
cat__DeviceProtection_No,-0.05728342610016062,0.05728342610016062
cat__MultipleLines_Yes,-0.06819659645039262,0.06819659645039262
cat__Dependents_No,-0.0725181104646893,0.0725181104646893
cat__DeviceProtection_Yes,-0.15414732411256518,0.15414732411256518
cat__OnlineBackup_Yes,-0.17521087606810207,0.17521087606810207
cat__Contract_One year,-0.20021330708891846,0.20021330708891846
