original_feature,importance
TotalCharges,0.22804486770570742
MonthlyCharges,0.19024614312062235
tenure,0.15358605376681328
Contract,0.0820925476932075
PaymentMethod,0.08087859770373655
InternetService,0.05369307117230335
OnlineSecurity,0.04193583782833186
TechSupport,0.028451419223446694
OnlineBackup,0.019294376210907682
PaperlessBilling,0.017074518568089767
DeviceProtection,0.016350530221640108
gender,0.01552158251468918
StreamingTV,0.013129560191521396
StreamingMovies,0.013127303567172805
Partner,0.012517561530738817
SeniorCitizen,0.011984829326878506
MultipleLines,0.01108297800949222
Dependents,0.009791938694267536
PhoneService,0.001196282950433082
